,Date,Inflation Measure,Value
0,2007-01-01,Aggregate Inflation,100.0
1,2007-01-01,EU Migrant-Influenced Inflation,99.99997
2,2007-02-01,Aggregate Inflation,97.69077
3,2007-02-01,EU Migrant-Influenced Inflation,98.86692
4,2007-03-01,Aggregate Inflation,101.3281
5,2007-03-01,EU Migrant-Influenced Inflation,100.5818
6,2007-04-01,Aggregate Inflation,102.4767
7,2007-04-01,EU Migrant-Influenced Inflation,101.195
8,2007-05-01,Aggregate Inflation,103.2429
9,2007-05-01,EU Migrant-Influenced Inflation,101.6789
10,2007-06-01,Aggregate Inflation,103.5638
11,2007-06-01,EU Migrant-Influenced Inflation,101.8657
12,2007-07-01,Aggregate Inflation,102.0305
13,2007-07-01,EU Migrant-Influenced Inflation,102.0805
14,2007-08-01,Aggregate Inflation,102.8342
15,2007-08-01,EU Migrant-Influenced Inflation,102.835
16,2007-09-01,Aggregate Inflation,104.2642
17,2007-09-01,EU Migrant-Influenced Inflation,103.037
18,2007-10-01,Aggregate Inflation,104.8297
19,2007-10-01,EU Migrant-Influenced Inflation,104.0551
20,2007-11-01,Aggregate Inflation,105.9361
21,2007-11-01,EU Migrant-Influenced Inflation,104.2829
22,2007-12-01,Aggregate Inflation,107.4724
23,2007-12-01,EU Migrant-Influenced Inflation,105.003
24,2008-01-01,Aggregate Inflation,105.4537
25,2008-01-01,EU Migrant-Influenced Inflation,105.701
26,2008-02-01,Aggregate Inflation,107.712
27,2008-02-01,EU Migrant-Influenced Inflation,106.4603
28,2008-03-01,Aggregate Inflation,108.7953
29,2008-03-01,EU Migrant-Influenced Inflation,108.526
30,2008-04-01,Aggregate Inflation,109.3299
31,2008-04-01,EU Migrant-Influenced Inflation,108.2694
32,2008-05-01,Aggregate Inflation,110.5833
33,2008-05-01,EU Migrant-Influenced Inflation,108.3721
34,2008-06-01,Aggregate Inflation,111.4449
35,2008-06-01,EU Migrant-Influenced Inflation,109.072
36,2008-07-01,Aggregate Inflation,109.9695
37,2008-07-01,EU Migrant-Influenced Inflation,109.4647
38,2008-08-01,Aggregate Inflation,110.7346
39,2008-08-01,EU Migrant-Influenced Inflation,109.8022
40,2008-09-01,Aggregate Inflation,111.4141
41,2008-09-01,EU Migrant-Influenced Inflation,111.0926
42,2008-10-01,Aggregate Inflation,112.0914
43,2008-10-01,EU Migrant-Influenced Inflation,112.5752
44,2008-11-01,Aggregate Inflation,113.3887
45,2008-11-01,EU Migrant-Influenced Inflation,112.4544
46,2008-12-01,Aggregate Inflation,112.5343
47,2008-12-01,EU Migrant-Influenced Inflation,112.5359
48,2009-01-01,Aggregate Inflation,111.3167
49,2009-01-01,EU Migrant-Influenced Inflation,112.0624
50,2009-02-01,Aggregate Inflation,114.3407
51,2009-02-01,EU Migrant-Influenced Inflation,112.0324
52,2009-03-01,Aggregate Inflation,114.8704
53,2009-03-01,EU Migrant-Influenced Inflation,112.4284
54,2009-04-01,Aggregate Inflation,115.6806
55,2009-04-01,EU Migrant-Influenced Inflation,112.9158
56,2009-05-01,Aggregate Inflation,116.7116
57,2009-05-01,EU Migrant-Influenced Inflation,113.1438
58,2009-06-01,Aggregate Inflation,116.4492
59,2009-06-01,EU Migrant-Influenced Inflation,113.1483
60,2009-07-01,Aggregate Inflation,114.55
61,2009-07-01,EU Migrant-Influenced Inflation,113.1151
62,2009-08-01,Aggregate Inflation,114.7332
63,2009-08-01,EU Migrant-Influenced Inflation,113.3733
64,2009-09-01,Aggregate Inflation,115.56
65,2009-09-01,EU Migrant-Influenced Inflation,113.919
66,2009-10-01,Aggregate Inflation,116.0648
67,2009-10-01,EU Migrant-Influenced Inflation,114.474
68,2009-11-01,Aggregate Inflation,116.6676
69,2009-11-01,EU Migrant-Influenced Inflation,114.9212
70,2009-12-01,Aggregate Inflation,117.3145
71,2009-12-01,EU Migrant-Influenced Inflation,114.9814
72,2010-01-01,Aggregate Inflation,115.395
73,2010-01-01,EU Migrant-Influenced Inflation,115.5234
74,2010-02-01,Aggregate Inflation,117.6584
75,2010-02-01,EU Migrant-Influenced Inflation,116.1195
76,2010-03-01,Aggregate Inflation,119.2041
77,2010-03-01,EU Migrant-Influenced Inflation,116.37
78,2010-04-01,Aggregate Inflation,119.5706
79,2010-04-01,EU Migrant-Influenced Inflation,116.6772
80,2010-05-01,Aggregate Inflation,120.0388
81,2010-05-01,EU Migrant-Influenced Inflation,117.0402
82,2010-06-01,Aggregate Inflation,119.921
83,2010-06-01,EU Migrant-Influenced Inflation,116.9664
84,2010-07-01,Aggregate Inflation,118.3976
85,2010-07-01,EU Migrant-Influenced Inflation,116.8064
86,2010-08-01,Aggregate Inflation,119.319
87,2010-08-01,EU Migrant-Influenced Inflation,117.0961
88,2010-09-01,Aggregate Inflation,121.0536
89,2010-09-01,EU Migrant-Influenced Inflation,116.9259
90,2010-10-01,Aggregate Inflation,120.726
91,2010-10-01,EU Migrant-Influenced Inflation,117.6012
92,2010-11-01,Aggregate Inflation,121.8912
93,2010-11-01,EU Migrant-Influenced Inflation,117.519
94,2010-12-01,Aggregate Inflation,122.1367
95,2010-12-01,EU Migrant-Influenced Inflation,118.0633
96,2011-01-01,Aggregate Inflation,121.5142
97,2011-01-01,EU Migrant-Influenced Inflation,120.3208
98,2011-02-01,Aggregate Inflation,122.9389
99,2011-02-01,EU Migrant-Influenced Inflation,120.271
100,2011-03-01,Aggregate Inflation,123.9377
101,2011-03-01,EU Migrant-Influenced Inflation,120.1567
102,2011-04-01,Aggregate Inflation,123.7483
103,2011-04-01,EU Migrant-Influenced Inflation,120.2401
104,2011-05-01,Aggregate Inflation,124.4048
105,2011-05-01,EU Migrant-Influenced Inflation,120.3414
106,2011-06-01,Aggregate Inflation,124.2297
107,2011-06-01,EU Migrant-Influenced Inflation,120.6045
108,2011-07-01,Aggregate Inflation,123.6771
109,2011-07-01,EU Migrant-Influenced Inflation,120.6505
110,2011-08-01,Aggregate Inflation,124.4715
111,2011-08-01,EU Migrant-Influenced Inflation,120.9621
112,2011-09-01,Aggregate Inflation,126.2348
113,2011-09-01,EU Migrant-Influenced Inflation,121.232
114,2011-10-01,Aggregate Inflation,125.876
115,2011-10-01,EU Migrant-Influenced Inflation,122.1784
116,2011-11-01,Aggregate Inflation,126.4381
117,2011-11-01,EU Migrant-Influenced Inflation,122.1724
118,2011-12-01,Aggregate Inflation,126.2566
119,2011-12-01,EU Migrant-Influenced Inflation,122.3416
120,2012-01-01,Aggregate Inflation,125.2398
121,2012-01-01,EU Migrant-Influenced Inflation,122.2394
122,2012-02-01,Aggregate Inflation,127.831
123,2012-02-01,EU Migrant-Influenced Inflation,121.9354
124,2012-03-01,Aggregate Inflation,128.7292
125,2012-03-01,EU Migrant-Influenced Inflation,122.3872
126,2012-04-01,Aggregate Inflation,128.1219
127,2012-04-01,EU Migrant-Influenced Inflation,122.9853
128,2012-05-01,Aggregate Inflation,128.9556
129,2012-05-01,EU Migrant-Influenced Inflation,122.5824
130,2012-06-01,Aggregate Inflation,127.8137
131,2012-06-01,EU Migrant-Influenced Inflation,123.0375
132,2012-07-01,Aggregate Inflation,127.0241
133,2012-07-01,EU Migrant-Influenced Inflation,123.3938
134,2012-08-01,Aggregate Inflation,127.9271
135,2012-08-01,EU Migrant-Influenced Inflation,123.5584
136,2012-09-01,Aggregate Inflation,129.0428
137,2012-09-01,EU Migrant-Influenced Inflation,123.8702
138,2012-10-01,Aggregate Inflation,129.0301
139,2012-10-01,EU Migrant-Influenced Inflation,124.3702
140,2012-11-01,Aggregate Inflation,129.289
141,2012-11-01,EU Migrant-Influenced Inflation,124.9172
142,2012-12-01,Aggregate Inflation,129.5605
143,2012-12-01,EU Migrant-Influenced Inflation,125.0541
144,2013-01-01,Aggregate Inflation,128.3393
145,2013-01-01,EU Migrant-Influenced Inflation,125.3013
146,2013-02-01,Aggregate Inflation,129.2647
147,2013-02-01,EU Migrant-Influenced Inflation,125.8801
148,2013-03-01,Aggregate Inflation,130.4672
149,2013-03-01,EU Migrant-Influenced Inflation,125.6594
150,2013-04-01,Aggregate Inflation,129.9999
151,2013-04-01,EU Migrant-Influenced Inflation,125.5969
152,2013-05-01,Aggregate Inflation,130.2663
153,2013-05-01,EU Migrant-Influenced Inflation,125.9897
154,2013-06-01,Aggregate Inflation,129.9495
155,2013-06-01,EU Migrant-Influenced Inflation,125.8973
156,2013-07-01,Aggregate Inflation,129.2375
157,2013-07-01,EU Migrant-Influenced Inflation,126.0619
158,2013-08-01,Aggregate Inflation,129.5929
159,2013-08-01,EU Migrant-Influenced Inflation,126.1483
160,2013-09-01,Aggregate Inflation,130.6311
161,2013-09-01,EU Migrant-Influenced Inflation,126.5268
162,2013-10-01,Aggregate Inflation,130.1838
163,2013-10-01,EU Migrant-Influenced Inflation,126.8075
164,2013-11-01,Aggregate Inflation,130.9001
165,2013-11-01,EU Migrant-Influenced Inflation,127.0146
166,2013-12-01,Aggregate Inflation,130.9963
167,2013-12-01,EU Migrant-Influenced Inflation,127.6492
168,2014-01-01,Aggregate Inflation,129.8579
169,2014-01-01,EU Migrant-Influenced Inflation,127.3843
170,2014-02-01,Aggregate Inflation,130.776
171,2014-02-01,EU Migrant-Influenced Inflation,126.3469
172,2014-03-01,Aggregate Inflation,131.2905
173,2014-03-01,EU Migrant-Influenced Inflation,126.8546
174,2014-04-01,Aggregate Inflation,130.3386
175,2014-04-01,EU Migrant-Influenced Inflation,126.7481
176,2014-05-01,Aggregate Inflation,130.3898
177,2014-05-01,EU Migrant-Influenced Inflation,127.1159
178,2014-06-01,Aggregate Inflation,130.0762
179,2014-06-01,EU Migrant-Influenced Inflation,127.5676
180,2014-07-01,Aggregate Inflation,128.1967
181,2014-07-01,EU Migrant-Influenced Inflation,127.4397
182,2014-08-01,Aggregate Inflation,129.259
183,2014-08-01,EU Migrant-Influenced Inflation,127.4598
184,2014-09-01,Aggregate Inflation,130.3968
185,2014-09-01,EU Migrant-Influenced Inflation,127.2295
186,2014-10-01,Aggregate Inflation,130.1155
187,2014-10-01,EU Migrant-Influenced Inflation,127.9229
188,2014-11-01,Aggregate Inflation,129.7758
189,2014-11-01,EU Migrant-Influenced Inflation,127.8191
190,2014-12-01,Aggregate Inflation,129.9485
191,2014-12-01,EU Migrant-Influenced Inflation,128.3504
192,2015-01-01,Aggregate Inflation,128.2997
193,2015-01-01,EU Migrant-Influenced Inflation,128.2254
194,2015-02-01,Aggregate Inflation,128.495
195,2015-02-01,EU Migrant-Influenced Inflation,128.4031
196,2015-03-01,Aggregate Inflation,129.2272
197,2015-03-01,EU Migrant-Influenced Inflation,128.6367
198,2015-04-01,Aggregate Inflation,128.8629
199,2015-04-01,EU Migrant-Influenced Inflation,128.8132
200,2015-05-01,Aggregate Inflation,128.7497
201,2015-05-01,EU Migrant-Influenced Inflation,128.6339
202,2015-06-01,Aggregate Inflation,128.7398
203,2015-06-01,EU Migrant-Influenced Inflation,128.8941
204,2015-07-01,Aggregate Inflation,126.9548
205,2015-07-01,EU Migrant-Influenced Inflation,129.0532
206,2015-08-01,Aggregate Inflation,128.0352
207,2015-08-01,EU Migrant-Influenced Inflation,128.7071
208,2015-09-01,Aggregate Inflation,128.8922
209,2015-09-01,EU Migrant-Influenced Inflation,129.0176
210,2015-10-01,Aggregate Inflation,128.4312
211,2015-10-01,EU Migrant-Influenced Inflation,129.1766
212,2015-11-01,Aggregate Inflation,128.9048
213,2015-11-01,EU Migrant-Influenced Inflation,129.7232
214,2015-12-01,Aggregate Inflation,128.7836
215,2015-12-01,EU Migrant-Influenced Inflation,129.9781
216,2016-01-01,Aggregate Inflation,127.7172
217,2016-01-01,EU Migrant-Influenced Inflation,129.8816
218,2016-02-01,Aggregate Inflation,128.3609
219,2016-02-01,EU Migrant-Influenced Inflation,130.9868
220,2016-03-01,Aggregate Inflation,128.7972
221,2016-03-01,EU Migrant-Influenced Inflation,130.9526
222,2016-04-01,Aggregate Inflation,128.0809
223,2016-04-01,EU Migrant-Influenced Inflation,131.6598
224,2016-05-01,Aggregate Inflation,128.3848
225,2016-05-01,EU Migrant-Influenced Inflation,131.6903
226,2016-06-01,Aggregate Inflation,127.9054
227,2016-06-01,EU Migrant-Influenced Inflation,131.8048
228,2016-07-01,Aggregate Inflation,126.4182
229,2016-07-01,EU Migrant-Influenced Inflation,131.8728
230,2016-08-01,Aggregate Inflation,128.2999
231,2016-08-01,EU Migrant-Influenced Inflation,131.9191
232,2016-09-01,Aggregate Inflation,129.681
233,2016-09-01,EU Migrant-Influenced Inflation,132.2371
234,2016-10-01,Aggregate Inflation,129.4637
235,2016-10-01,EU Migrant-Influenced Inflation,132.672
236,2016-11-01,Aggregate Inflation,130.0232
237,2016-11-01,EU Migrant-Influenced Inflation,133.2756
238,2016-12-01,Aggregate Inflation,129.9278
239,2016-12-01,EU Migrant-Influenced Inflation,133.0319
240,2017-01-01,Aggregate Inflation,129.3429
241,2017-01-01,EU Migrant-Influenced Inflation,133.039
242,2017-02-01,Aggregate Inflation,130.1736
243,2017-02-01,EU Migrant-Influenced Inflation,133.8912
244,2017-03-01,Aggregate Inflation,131.2383
245,2017-03-01,EU Migrant-Influenced Inflation,134.2274
246,2017-04-01,Aggregate Inflation,130.1699
247,2017-04-01,EU Migrant-Influenced Inflation,134.1978
248,2017-05-01,Aggregate Inflation,131.0848
249,2017-05-01,EU Migrant-Influenced Inflation,134.114
250,2017-06-01,Aggregate Inflation,131.1264
251,2017-06-01,EU Migrant-Influenced Inflation,134.5182
252,2017-07-01,Aggregate Inflation,129.9092
253,2017-07-01,EU Migrant-Influenced Inflation,134.8332
254,2017-08-01,Aggregate Inflation,131.2839
255,2017-08-01,EU Migrant-Influenced Inflation,134.4492
256,2017-09-01,Aggregate Inflation,132.8134
257,2017-09-01,EU Migrant-Influenced Inflation,134.4185
258,2017-10-01,Aggregate Inflation,132.6157
259,2017-10-01,EU Migrant-Influenced Inflation,135.0283
260,2017-11-01,Aggregate Inflation,132.6035
261,2017-11-01,EU Migrant-Influenced Inflation,135.1323
262,2017-12-01,Aggregate Inflation,132.6811
263,2017-12-01,EU Migrant-Influenced Inflation,135.6708
264,2018-01-01,Aggregate Inflation,132.1432
265,2018-01-01,EU Migrant-Influenced Inflation,136.4196
266,2018-02-01,Aggregate Inflation,132.3795
267,2018-02-01,EU Migrant-Influenced Inflation,135.1236
268,2018-03-01,Aggregate Inflation,133.6819
269,2018-03-01,EU Migrant-Influenced Inflation,135.6523
270,2018-04-01,Aggregate Inflation,133.5812
271,2018-04-01,EU Migrant-Influenced Inflation,135.8432
272,2018-05-01,Aggregate Inflation,133.6341
273,2018-05-01,EU Migrant-Influenced Inflation,136.0142
274,2018-06-01,Aggregate Inflation,133.2941
275,2018-06-01,EU Migrant-Influenced Inflation,135.7092
276,2018-07-01,Aggregate Inflation,132.3906
277,2018-07-01,EU Migrant-Influenced Inflation,135.3351
278,2018-08-01,Aggregate Inflation,133.2936
279,2018-08-01,EU Migrant-Influenced Inflation,134.5727
280,2018-09-01,Aggregate Inflation,134.3786
281,2018-09-01,EU Migrant-Influenced Inflation,134.4874
282,2018-10-01,Aggregate Inflation,134.5866
283,2018-10-01,EU Migrant-Influenced Inflation,134.5426
284,2018-11-01,Aggregate Inflation,135.1105
285,2018-11-01,EU Migrant-Influenced Inflation,134.7591
286,2018-12-01,Aggregate Inflation,134.8621
287,2018-12-01,EU Migrant-Influenced Inflation,135.7977
288,2019-01-01,Aggregate Inflation,133.7446
289,2019-01-01,EU Migrant-Influenced Inflation,135.4099
290,2019-02-01,Aggregate Inflation,134.3857
291,2019-02-01,EU Migrant-Influenced Inflation,135.4468
292,2019-03-01,Aggregate Inflation,134.754
293,2019-03-01,EU Migrant-Influenced Inflation,136.2615
294,2019-04-01,Aggregate Inflation,134.077
295,2019-04-01,EU Migrant-Influenced Inflation,136.6145
296,2019-05-01,Aggregate Inflation,135.3704
297,2019-05-01,EU Migrant-Influenced Inflation,137.009
298,2019-06-01,Aggregate Inflation,135.2385
299,2019-06-01,EU Migrant-Influenced Inflation,137.2188
300,2019-07-01,Aggregate Inflation,134.1177
301,2019-07-01,EU Migrant-Influenced Inflation,137.7108
302,2019-08-01,Aggregate Inflation,135.2043
303,2019-08-01,EU Migrant-Influenced Inflation,137.2632
304,2019-09-01,Aggregate Inflation,136.0791
305,2019-09-01,EU Migrant-Influenced Inflation,138.3201
306,2019-10-01,Aggregate Inflation,135.8183
307,2019-10-01,EU Migrant-Influenced Inflation,138.2752
308,2019-11-01,Aggregate Inflation,136.7418
309,2019-11-01,EU Migrant-Influenced Inflation,139.3094
310,2019-12-01,Aggregate Inflation,136.5954
311,2019-12-01,EU Migrant-Influenced Inflation,139.6693
312,2020-01-01,Aggregate Inflation,135.0103
313,2020-01-01,EU Migrant-Influenced Inflation,139.639
314,2020-02-01,Aggregate Inflation,135.8591
315,2020-02-01,EU Migrant-Influenced Inflation,140.4803
316,2020-03-01,Aggregate Inflation,136.0171
317,2020-03-01,EU Migrant-Influenced Inflation,141.0078
318,2020-04-01,Aggregate Inflation,128.3013
319,2020-04-01,EU Migrant-Influenced Inflation,151.4342
320,2020-05-01,Aggregate Inflation,129.5446
321,2020-05-01,EU Migrant-Influenced Inflation,151.2699
322,2020-06-01,Aggregate Inflation,133.4502
323,2020-06-01,EU Migrant-Influenced Inflation,152.2335
324,2020-07-01,Aggregate Inflation,134.703
325,2020-07-01,EU Migrant-Influenced Inflation,149.9189
326,2020-08-01,Aggregate Inflation,133.7777
327,2020-08-01,EU Migrant-Influenced Inflation,144.9134
328,2020-09-01,Aggregate Inflation,135.1631
329,2020-09-01,EU Migrant-Influenced Inflation,145.3668
330,2020-10-01,Aggregate Inflation,135.6594
331,2020-10-01,EU Migrant-Influenced Inflation,146.3212
332,2020-11-01,Aggregate Inflation,134.2866
333,2020-11-01,EU Migrant-Influenced Inflation,153.7989
334,2020-12-01,Aggregate Inflation,135.1796
335,2020-12-01,EU Migrant-Influenced Inflation,148.8365
336,2021-01-01,Aggregate Inflation,132.8735
337,2021-01-01,EU Migrant-Influenced Inflation,154.0408
338,2021-02-01,Aggregate Inflation,133.2828
339,2021-02-01,EU Migrant-Influenced Inflation,154.8573
340,2021-03-01,Aggregate Inflation,134.4564
341,2021-03-01,EU Migrant-Influenced Inflation,154.0442
342,2021-04-01,Aggregate Inflation,134.0957
343,2021-04-01,EU Migrant-Influenced Inflation,154.6507
344,2021-05-01,Aggregate Inflation,135.0629
345,2021-05-01,EU Migrant-Influenced Inflation,154.3695
346,2021-06-01,Aggregate Inflation,135.3158
347,2021-06-01,EU Migrant-Influenced Inflation,153.5948
348,2021-07-01,Aggregate Inflation,135.2445
349,2021-07-01,EU Migrant-Influenced Inflation,152.3316
350,2021-08-01,Aggregate Inflation,136.4662
351,2021-08-01,EU Migrant-Influenced Inflation,152.7964
352,2021-09-01,Aggregate Inflation,138.143
353,2021-09-01,EU Migrant-Influenced Inflation,151.7165
354,2021-10-01,Aggregate Inflation,138.8487
355,2021-10-01,EU Migrant-Influenced Inflation,151.4455
356,2021-11-01,Aggregate Inflation,139.4063
357,2021-11-01,EU Migrant-Influenced Inflation,152.1131
358,2021-12-01,Aggregate Inflation,140.2101
359,2021-12-01,EU Migrant-Influenced Inflation,153.0851
360,2022-01-01,Aggregate Inflation,139.9024
361,2022-01-01,EU Migrant-Influenced Inflation,153.7084
362,2022-02-01,Aggregate Inflation,141.1349
363,2022-02-01,EU Migrant-Influenced Inflation,151.0899
364,2022-03-01,Aggregate Inflation,142.3563
365,2022-03-01,EU Migrant-Influenced Inflation,151.4714
366,2022-04-01,Aggregate Inflation,142.2299
367,2022-04-01,EU Migrant-Influenced Inflation,152.6876
368,2022-05-01,Aggregate Inflation,143.4995
369,2022-05-01,EU Migrant-Influenced Inflation,154.1499
370,2022-06-01,Aggregate Inflation,144.5037
371,2022-06-01,EU Migrant-Influenced Inflation,155.0918
372,2022-07-01,Aggregate Inflation,145.0209
373,2022-07-01,EU Migrant-Influenced Inflation,156.072
374,2022-08-01,Aggregate Inflation,146.4872
375,2022-08-01,EU Migrant-Influenced Inflation,157.5514
376,2022-09-01,Aggregate Inflation,148.6041
377,2022-09-01,EU Migrant-Influenced Inflation,159.6105
378,2022-10-01,Aggregate Inflation,149.5862
379,2022-10-01,EU Migrant-Influenced Inflation,160.4782
